"contents","author","category","star_tweet"
"@tomblappy I learned what'll happen in my Carmen Sandiego game if I fail to obtain a warrant, the place will mourn the loss of its loot!","@JeremiahLiles1","game",
"Also I now really want to hear about the adventures of Carmen Sandiego, but a puma","@Talen_Lee","pop culture",
"Lolllll, also...this is a great “Sexy Where Is Carmen Sandiego” costume","@alanitaaa_","style",
"VIDEO: 10 Reasons Where in the World Is Carmen Sandiego? Was the Best Educational TV Show Ever 0","@marcelomoina12","edutainment",
"About to board my flight to Reykjavik! Srs u guys I have wanted to go here ever since I was a kid playing Carmen Sandiego on my cuz's Sega!","@dazyndara","travel","x"
"@themarcjacobs @SJMillinery @marcjacobs Congratulations, Marc, to you and your entire troupe! Que Fanastico! Carmen Sandiego Extravaganza Realness! Bravissimo! I only wish you had your own tvshow to document your creative journey from inspiration to show. Loved that about your documentary! Again, many congrats! 🍾👏🙏","@MikeWMaryland","pop culture",
"VIDEO: 10 Reasons Where in the World Is Carmen Sandiego? Was the Best Educational TV Show Ever https://t.co/4BNhuSLPKp","@oliviah04423346","edutainment",
"Try and answer this:- Carmen Sandiego receives utility from days spent traveling https://t.co/4JzZDcD6wc","@AnswersScholars","travel",
"@b4byh4ndz My dream Halloween costume is Carmen San Diego!!!! And you get to be her every time it’s cold wtf!!!!!!","@brrriah","style",
"It's like 20+ degrees already so I need to go out in my sun hat. Looking a bit like Carmen Sandiego tbh http://t.co/3nYImIQsro","@japanese_gum","style",
"🤔 I grew up on Carmen Sandiego and even as a teen I envisioned her as Jennifer Lopez with her stylish coat, long hair and pimp fedora https://t.co/6oAxpDhwnz","@bigbrotherfan35","style",
"@ROYAL_HEiRESS yesssssss ... Next season gon be good for the godsss - her ass think she Carmen Sandiego with that trench coat on chile","@PandorasBoxxxx","style",
"Yall see @khloekardashian in her where in the world is carmen San Diego hat #nbafinals","@thatown2","style","x"
"Y'all know Bill Sienkiewicz created Carmen Sandiego's iconic look?","@XavierFiles","pop culture",
"Is there a damn reason why Rasheeda is wearing all these hats?? Is she in the hood reboot of Carmen Sandiego?? #LHHATL","@libra10584","style",
"@TheGemJade So do we but can we even FIND you Carmen Sandiego? How do we know you're not already on vacation?","@Hertz","travel",
"Netflix is betting on ‘90s kids nostalgia for learning with upcoming lineup https://t.co/FElMFAffBM https://t.co/fvEkwND4jD","@ItsBeersie","edutainment",
"@heathermgirls @KatBarrell Right when I saw here in that outfit I said CARMEN SANDIEGO!!! 😂😂😏😏","@MsLSpatz","style",
"#Travel First time I heard about #Reykjavík was when I was a little brat playing ""Where In The World Is Carmen Sandiego?"" :)","@bluebay700","edutainment",
"When I wasn't reading books way beyond my age range, I was on the computer playing Where In The World Is Carmen San Diego? Learning world geography before I got out of elementary school. https://t.co/wUHjr3SETw","@DJ_Caibel","edutainment",
"@JTMASTER13 we def hafta set up a carmen sandiego day soon. Probably after my vacation","@cticedemon20","travel",
"@JoshuaMK2 When I saw this coat, the first thing that came to my mind was Carmen Sandiego.","@MineBoomGaming","style","x"
"Idea for a video game. In the style of #AssasinsCreed but you play as #CarmenSanDiego traveling the world, avoiding spies that are tracking you down while you clear your name and collect clues from all over. #idea #gameidea #videogames #thoughts","@CandleCTM","travel",
"https://t.co/ywh5j97YuJ Netflix is learning how in the world to play the franchise game with Carmen Sandiego https://t.co/quYZsLNaoJ Support Podcasts https://t.co/knbS0q0lS3","@njslea","pop culture",
"I bet this kid from Where in the World is Carmen Sandiego became the World's Greatest Detective just cause of the hat http://t.co/x3Y0wttm24","@cdulaney85","style",
"If you talking about learning cartoons then where is carmen sandiego was slept on.. https://t.co/eBd2KbB3gH","@fatdaddy025","edutainment",
"@GreeGreeHoist although if I'm honest womens fedoras give me more of a Carmen Sandiego vibe.","@AndrewJPlant","style",
"Gina Rodriguez donning red fedora and trench coat of Carmen Sandiego https://t.co/KwFWbTpbS3 https://t.co/3hYroCTLz4","@Junior27071678","pop culture",
"Lady Gaga Swiped Her Hat And Trench From Carmen Sandiego’s Closet https://t.co/YcfWeecHTi https://t.co/ydN0pm4qTh","@FIO3208","style",
"@edgarwright this is like ""Where In The World Is Carmen Sandiego?"" Spoiler, she was always in Brazil.","@TheKarenMelgar","pop culture",
"Halloween fun at the office today #CarmenSandiego #WorkFamily @ Rowland Publishing, Inc. https://t.co/94FsfUdrir","@KenzieBurleigh","style",
"Gamification! Now you're singing my song! I employ games wherever I can. Gamified PD to learn Schoology was started two years ago. Right now, I've stolen @irvspanish's Carmen Sandiego idea for my geometry class using @DeckToys and @breakoutEDU. #12DaysofSchoology","@JaredRLopatin","edutainment",
"I am really hoping for greatness here!!! I loved this show!!!! Side Note: I have many friends that could be Carmen Sandiego based on their travel frequency!! I wonder where in the world they are now . . . https://t.co/jFifv8KKfu","@FunwithZs","travel",
"@mseric Muhahahahahahaha, I'm the Carmen Sandiego of hat sealing","@ANGRYref","style",
"VIDEO: 10 Reasons Where in the World Is Carmen Sandiego? Was the Best Educational TV Show Ever via PEOPLE.c… https://t.co/7kXI72mc23","@WhoFeedsYou","edutainment",
"@MissyXMartinez I thought Carmen Sandiego had a red hat?","@xxxstarpr","style",
"Facebook Hides Your Exes, Carmen Sandiego Returns on Mobile… [Digest] https://t.co/IhVMESVLqt #Science #MakeUseOf","@PakStuff","pop culture",
"Good luck finding me in my Magic Eye Carmen Sandiego disguised as Waldo costume. #Halloween","@RhythmOrangutan","style",
"I miss the shows Beekman's World, Ghost Writer,Bill Nye the Science Guy and Where In The World Is Carmen Sandiego. #OriginalSmartTv","@joyfulcici","nostalgia",
"@auroritas those are Carmen Sandiego hats.","@stoppodcasting","style",
"@townhallproject @baddogmarley @DevinNunes And @SenCoryGardner who technically had a town hall or two but in a kind of ""where in the world is Carmen SanDiego"" kind of fashion, and they really shouldn't count.","@cassandraschoon","pop culture",
"Trench coat at your door...Carmen Sandiego can I explore...","@KenzWins","fashion",
"carmen sandiego's outfit is food for thought. like, on the one hand it's presumably super concealing because she's always on the lam. [...]","@number_one_twit","style",
"Did everyone my age learn what Spelunking was from Carmen Sandiego?","@kebophoto","edutainment",
"Where on earth is Carmen San Diego #letsgetlost #adventure","@DreebLaChingona","travel",
"Cam is legit wearing Carmen San Diego’s hat 😂 😂","@Metta_World_Mat","style",
"@espn what about the loses? Then is it a carmen san diego hat and he disappears without talking to the media? https://t.co/en6siS7BfB","@bnasty_55","style",
"Where in the World Is Carmen Sandiego? Becoming a Secret Travel Agent https://t.co/8kHbPStgZx","@myikegami_bot","travel",
"Feeling very Carmen Sandiego in this photo. Just need my hat. 💋 #latergram #redlips #palegirls https://t.co/Kj8NvTZmOZ","@BreGraing","style",
"Gina Rodriguez donning red fedora and trench coat of Carmen Sandiego https://t.co/GjN8Metu1S","@vishalfast007","pop culture",
"I've been corrected 183 times. Yes I realize the Obamas are in Argentina. Thank you very much Where In the World Is Carmen San Diego players","@CerromeRussell","pop culture",
"Netflix is betting on ‘90s kids nostalgia for learning with upcoming lineup https://t.co/8lBQjqTN4V https://t.co/rblgxPFg7W","@Radalei","edutainment",
"Someone needs to make a Carmen Sandiego spoof with how often @Proton_Jon is on trips. ""Where in the world is Proton Jondiego?""","@DanTheEnigma","travel",
"@MissGucc I know.. Ppl started callin me Carmen San Diego & Dora the Explorer 😂😂","@Ms_LeahB","travel",
"""Rodriguez, who won a Golden Globe for Jane the Virgin and continues to play the character, began her transfer to feature star with the Alex Garland-directed Annihilation and continues with the remake of the thriller Miss Bala that Sony Pictures... https://t.co/J17jyj1oTJ","@beachgal","pop culture",
"""She likes travelling the world, living the high life, and she has red hair. Is it possible Alison Redford is actually Carmen Sandiego?""","@JessHPear","travel",
"Games that taught me to read and type: Dragon Warrior, Kings Quest 4, Carmen Sandiego.","@Postmita","edutainment",
"@GeorgeLA96 it’s better than that. He’s traveling the country in pursuit of the mysterious Carmen Sandiego","@the16thdoc","travel",
"@RayMarkAble1 I saw you had that Carmen Sandiego costume that one time. Where in the world is Shannon Ray?","@_Corey_Deshun","style",
"@sethasfishman @DjangoWexler If you aren't dressed in a Waldo or a Carmen Sandiego costume, you're missing a perfect opportunity.","@bryancamp","style",
"Carmen Sandiego definitely went dumb. And that pillow talking would be so 🔥🔥🔥. Telling you about all her adventures. Perfect.","@LaJethroJenkins","travel",
"Someone found us >.> The #CarmenSandiego and #Waldo #conspiracy #cosplay #DragonCon2017 https://t.co/gL9ROs3ITi","@Liane_DeeTee","waldo",
"Sitting in a hotel watching Carmen San Diego learning more now than in the last 4 years","@kaylorray","edutainment",
"Gina Rodriguez donning red fedora and trench coat of Carmen Sandiego https://t.co/DkKtDWaw3z https://t.co/iia5000XLf","@mya_fl","pop culture",
"An old woman on this bus in a Carmen Sandiego hat and coat just winked at me. #thisishowitstarts","@d_ruddenwrites","fashion",
"@kchironis Mortal Kombat, Tekken, and Tomb Raider -- video games that actually had female characters. In the case of Tomb Raider, the main character was a woman. I'd also throw out Where in the World is Carmen San Diego. It made me want to travel and learn about different places.","@SimplxeSierra","travel",
"Lots of travel in the next few weeks! #SanFrancisco, #Philly, #NYC then #Miami. Just trying to keep up with #CarmenSandiego... #travel #ttot","@ybtraveler","travel",
"@lizbizfizz @rnrkd Carmen Sandiego has been on my costume list for a long time!","@elyseexplosion","style",
"@NCogsmith Where in the world is Carmen Sandiego('s cosplay)?","@FilmActivist","style",
"@LookAtLollyy you still got a lot of world to explore Carmen San Diego","@YungHouseNigga","travel",
"@Fearless_Fred Would you accept #CarmenSandiego as an anti-hero? Because that's exactly what I want. Punisher, but Carmen.","@nickthetrekkie","pop culture",
"Peggy Carter & Carmen SanDiego, travelling the world in pursuit of each other. Bet that would be one heck of a good looking cosplay couple.","@aglitermacaroon","travel",
"Car 54, Where in the World is Carmen Sandiego? #CrossTVShows","@TLBKlaus","pop culture",
"#ImInSearchOf Carmen San Diego. No wonder she's so hard to find. There's no extradition treaty in Brazil.","@Chewbacca_Sound","pop culture",
"@Hobbs_1977 also, Where In The World Is Carmen Sandiego was educational software from the 90s. Ergo, Where In The World Is Peter Quinndiego.","@Auman1","edutainment",
"Connie dressed as Carmen Sandiego, I live! Thank you @rebeccasugar #onetimeforthe90sbabies #StevenUniverse","@Bio_MANIac_","cosplay",
"@TheWizKid730 @ShadowTodd Why you gotta pick on fedoras? Carmen Sandiego, Old gumshoe films... That's all I've got.","@KpHeaney","style",
"I followed #CarmenSanDiego then @TripStyler. Both are why I ❤️ to #travel http://t.co/QT3tV2coox @expedia","@Magabout","travel","x"
"Launched my new travel website! Follow my adventures! https://t.co/RROe0EaDe0 #travel #southamerica #carmensandiego","@whereisasha","travel",
"@SilverpawsRAWR @RowanM421 It's ok XD I didn't take it that way. She has more outfits anyway and Carmen Sandiego is indeed pretty awesome 8D","@TentacleTongue","style",
"VIDEO: 10 Reasons Where in the World Is Carmen Sandiego? Was the Best Educational TV Show … https://t.co/a91HAV86Ps https://t.co/pk6QwyMb5W","@rowdy_ratnani","edutainment",
"Time for Diana's fantasy Carmen Sandiego vacation. #metvwonderwoman","@Irezumi23","travel",
"History Repeats. U play catchup learning Earth #SuperComputer Math Language. I finished early & play #CarmenSandiego https://t.co/lE1gMJZDgi","@Rodillon","pop culture",
"Where my boo at?! #wonderwoman #carmensandiego #dominiquedevereaux @thebrandiray","@Rogue_Medium","pop culture",
"Me *puts on Carmen Sandiego fedora and heads out* https://t.co/qv2EqZN4js","@sylphanne","style",
"Carmen Sandiego costume or 2018 fall fashion? https://t.co/YN7qUn8oXs","@lc_storyteller","style",
"@MikahWyman Wear in the World is Carmen Sandiego","@carsonraft","search",
"You tryna tell me Carmen Sandiego ain't gay? Look at that hat and strong ass jaw. https://t.co/1MdkM7svtn","@BisHilarious","lgbtq",
"@important_pod I'd also like to request (demand) a bracket episode of the best old school children's educational computer games. Everything from Treasure Mountain to Oregon Trail to the Jumpstart series to Carmen Sandiego to SimCity.","@JN_Floyd","edutainment",
"VIDEO: 10 Reasons Where in the World Is Carmen Sandiego? Was the Best Educational TV Show Ever https://t.co/VSbpDDiOzw","@megansarahj","edutainment",
"Where in the World Is Carmen Sandiego? Becoming a Secret Travel Agent https://t.co/frqPYTSqU5","@ryf_feed","travel",
"Gina Rodriguez donning red fedora and trench coat of Carmen Sandiego https://t.co/hAOlX6rgjz https://t.co/nAEHQqGZ3m","@Influcliq","pop culture",
"VIDEO: 10 Reasons Where in the World Is Carmen Sandiego? Was the Best Educational TV Show Ever https://t.co/n9p0efOGpO","@lowe_eloise","edutainment",
"Carmen Sandiego low-key doing a permanent Alucard cosplay.","@Naledi_R","style",
"God thank you for where in the world is Carmen Sandiego cause i sure put it in this song just now #teamsamplenosample #yepyep","@_Pompey","pop culture",
"@TheJessicaJames why is it that when you wear those hats you look so cute and when I try I look like Carmen SanDiego? 😒 #perfection","@GabriellaaaaaC","style",
"@PushinUpRoses The Logical Journey of the Zoombinis and every Carmen Sandiego game.","@TheAtombender","pop culture",
"@Axxman300 oh I seriously thought it was A mysterious woman that kind of resembles Carmen Sandiego! :/","@TwizMandy","pop culture",
"@DariusAmore I’mma get you a Carmen San Diego hat lol.","@rmichaelthomas","style",
"@ENews @eonline Does Carmen Sandiego count? She has a trench coat, fab hat, travels the world, and has henchmen doing her dirty work. #boss","@Sim1_Says","travel",
"Carmen Sandiego doesn't need a man she travels the world alone","@Sir_Rosebullet","travel","x"
"Facts! I still see Carmen San Diego as a female icon!!!! Do you know how many male thief we praise in these streets? https://t.co/Jh1Q3EFGc3","@twerkforcondoms","feminism","x"
"how much expendable income did Carmen Sandiego have to get to travel all the time/is she on a list for flying so frequently/where is she","@TigNotaro","travel",
"This hat is her signature now lol she ended Carmen Sandiego","@badgalmunaaa","style",
"Tommy Pickles and Carmen Sandiego! #halloween #tommypickles #rugrats #carmensandiego… https://t.co/Z2TFfZsJGl","@musicboxsong","style",
"Just reminded of best couple costume I saw on Halloween: Carmen Sandiego and Wally.","@jaqx0r","style",
"I'd use my World Almanac of the USA, Fodor's USA travel guide & Where in the USA is Carmen Sandiego clue book together for a State-A-Base.","@JeremiahLiles1","travel",
"I can't overstate how well #SNL absolutely NAILED the old Carmen San Diego set and aesthetics right down to the host's outfit omg","@jacktink","pop culture",
"I love Molly and everything she questions. Thank you for pushing the difficult issues. #insecurehbo @YvonneOrji #carmensandiego","@alexhiniker","pop culture",
"Halloween Squad Ghouls 👻 🎃 Spent 95% of my day trying to explain who Carmen Sandiego is to individuals that were born after 1991. • Carmen Sandiego • Eliza Thornberry • Jerry & Ros… https://t.co/AP1m7kxRRb","@kaceysims27","style",
"@PatTheNESpunk What is your favorite education game? Like Oregon Trail, Carmen San Diego, etc. #CUpodcast","@GreyScaleLJH","edutainment",
"VIDEO: 10 Reasons Where in the World Is Carmen Sandiego? Was the Best Educational TV Show … https://t.co/vGs6fwAYe4 https://t.co/IeMEaGXSI8","@LeldeSaulgozis","edutainment",
"@AnneWheaton Where in the world is Carmen Sandiego could be educational too. 8)","@jlilest","edutainment",
"our stylist chuy has been calling me carmen sandiego all day mebe ill go 100 on Halloween","@mayalynne","style",
"Carmen Sandiego rally makes a jetpack work. Also that hat. And that jacket. And being smoldering.","@Carin_McLeoud","style",
"They'll never find me! #happyhalloween#carmensandiego https://t.co/SMBSAheBnW","@melaniebottini","style",
"I think I want to be Carmen SanDiego for Halloween","@ItsMsCoCo","style",
"@maxgladstone Carmen Sandiego is an anarchic uncatchable god stealing symbols of authority and culture and empire, leaving the world gloriously weird.","@maxgladstone","inspiration",
"Currently at @NatGalleryAus #incas exhibition. Found the quipu, used to count goods. Flash back to #carmensandiego time travel game!","@teone_n","pop culture",
"@welcomemattv has @CountVonCount ever heard of giant bats in the Philippines? I just learned about them in my Carmen Sandiego game.","@JeremiahLiles1","edutainment",
"Gina Rodriguez donning red fedora and trench coat of Carmen Sandiego https://t.co/nIDBsLQfsQ","@CapitalVA","pop culture",
"Seriously. Get back to the Broderbund style with the punny names and actual characters and get me a new #CarmenSandiego game.","@ZombieFobby","pop culture",
"Iconic! Netflix Is Bringing Back OG Scammer Carmen Sandiego & Everyone... https://t.co/VhOmkxuIOd","@hypeunderground","pop culture",
"Carmen Sandiego is my style icon. https://t.co/YQl0QvxjKA","@ailbhetross","fashion",
".@Snowden and his gf win all Halloweens for these epic costumes. #WheresWaldo #CarmenSandiego https://t.co/iCAmbvpBxL","@o_ema","style","x"
"Carmen Sandiego May Be Fictional, but Her Style Is Hugely Influential - Racked #sandiego https://t.co/6ToqxCTfzh","@ladygagaa__fans","style",
"#inktober2017 15th Mysterious #ink #traditional #womam #carmensandiego #trenchcoat https://t.co/kv8cFutjdM","@DABurgosART","style",
"Someone in Slate Slack joked that Blake Lively stole Carmen Sandiego's clothes, but ""Where in the world is Blake Lively?"" is actually a pretty good tagline for the movie.","@inkookang","style",
"Free Halloween costume idea: tell everyone you’re dressing as Carmen Sandiego but just never show up to the party","@the_jan_man","style",
"My niece is wearing a hat and looks like Carmen Sandiego and we're all dying.","@comeroundfullO","style","x"
"Where in the world is Carmen SanDiego (@ Chicago O'Hare International Airport in Chicago, IL) https://t.co/ZRTNOo7Bjf","@katphysch","travel",
"@KrystalShelbs traveling the world like Carmen Sandiego! https://t.co/b06g02amWE","@aimee_costa","travel",
"If the Carmen Sandiego Theme Song was Metal…: Never before has geography been so brutal. The post If the Car... https://t.co/QpaT5XLcLf","@worldwidemetals","pop culture",
"Happy Halloween from the alumni association! #HappyHalloween #Bewitched #Earl #CarmenSanDiego https://t.co/INkqfI2NiV","@UALRAlumni","style",
"Not loving Sophie's hat today. A little too Carmen Sandiego for me. But LOVED the dress! 😍 https://t.co/nxdXhVNwz3","@Amanda_Effie","style",
"KIDS WOULD HAVE A REASON TO LEARN HOW TO USE MAPS, STAR NAVIGATION, AND COMPASSES! #CarmenSandiego has so much to teach.","@thisislarimix","edutainment",
"Carmen Sandiego is Back in all of Her Globe-Strutting Glory https://t.co/TzHNfgDsu8 https://t.co/64vPu8aWwp","@thegist","travel",
"The hero crew is mostly historians and statisticians, one of which is an expert on time travel fiction to prevent pesky paradoxes and the like. She's mostly a Quantum Leap/Carmen Sandiego fan.","@VTMarik","pop culture",
"@smwat you are legit a real life Carmen San Diego, smart stylish mysterious taking Singaporean taxis at midnight etc","@promethea","fashion",
"Carmen Sandiego and her boyfriend Capwolf enjoying Halloween at @AvengersAcademy 😍 #Steggy #PeggyCarter #SteveRogers https://t.co/Vcok9sqIPj","@AniWolfsBane","style",
"Rita Moreno was Carmen Sandiego’s voice??? Look at there, learned something new today! #jeopardy","@candacearm","pop culture",
"Random thought of the day: Was Carmen Sandiego a villain or just a misunderstood chick with a bad case of #wanderlust?","@LizSoolkin","travel",
"I need a Carmen San Diego hat... i need one now","@PetaOdini","style","x"
"Tried to be trendy and buy one of those floppy suede hats. Instead I look like Carmen Sandiego 🌎","@WVLTCasey","style",
"Someone took inspiration from Where in the World is Carmen Sandiego for that outfit... #SBSEurovision","@bethwoodvilles","fashion",
"The Magic School Bus / Carmen Sandiego crossover we've all been waiting for? >_> https://t.co/dSGc1qy9Uy","@LordBahumat","pop culture",
"sudden urge to cosplay carmen sandiego","@kimdianajones","style",
"@FreshOffABC @ABCNetwork @ConstanceWu @parkrandall Fantastic Halloween episode 2nite! 8:30/7:30c. Checkout Carmen SanDiego..look familiar?","@LilyMaeSilver","style",
"#whereisofelia @mercedesmason Ofelia is doing the Carmen Sandiego and waiting to save the day Ofelia style of course. 😁 https://t.co/aEm6InN38y","@sheimoonlight","pop culture",
"Netflix may have found their 'Carmen Sandiego' and she comes with Golden Globe credentials https://t.co/whBACtoQeh https://t.co/0rhndracZh","@HitFixUPROXX","pop culture",
"If where's Waldo and Carmen San Diego got married, would anyone be able to find their wedding? If so, could you teach me how to ""I spy""?","@PuffLyle","waldo",
"What do you get when you have The Doctor, Waldo, and Carmen Sandiego in one location? An epic adventure! Follow our journey and see if you can figure out where we’re stopping, you might… https://t.co/JXIKGmIbo1","@bossierlibrary","travel",
"@lillythepink57 @kchironis Theme park world, we played heaps of that, Carmen sandiego and magic school bus, the game on encarta 😂","@lillythepink57","pop culture",
"@thaumatropia That is very cool and Carmen Sandiego. I need a snappy red coat.","@FightDynamite","style",
"thats how i knew all the states & some of the continents countries when i was 3-4 yrs old from carmen sandiego lol...good ole pbs education","@kqBEATS","edutainment","x"
"*Slips on her Carmen San Diego Trenchcoat and hat!* https://t.co/RfUl0uIn9q","@kessily","style",
"@TheLauralania Sorry you're having a rough time of it. One fun thing to do tomorrow is go find a Carmen Sandiego outfit for cosplay.","@davidsteele","style",
"Where in the World Is Carmen Sandiego? Becoming a Secret Travel Agent https://t.co/4xtcFewhMp (cmts https://t.co/uk1CK0BVWo)","@FrontPageHN","travel",
"Chasing #CarmenSandiego around the #world as a child made me want to #travel the world as I grew older. #explore #cultures","@kampind","travel","x"
"@Feligo25 @lexi5983 #westcoastwolfpack #ChicagoFire Thank you Carmen San Diego","@Ken00399154","pop culture",
"Carmen Sandiego Returns in a New Educational App https://t.co/SlKA4fPSLj https://t.co/kAtQPboDrV","@JarboeMelina","edutainment",
"@LabyrinthCat As I recall, you have a pretty kick ass Carmen Sandiego costume. So far as I'm aware that meets all 3 criteria.","@N3DrGonzo","style",
"Where in the world.... #hats #santamonica #la #Latina #carmensandiego #lifeincolor #fullfigured… https://t.co/05fIt1aufo","@MassielNH","style",
"@BeccaMick @ChampionHeather @heartsabustin @AV_snarkeyes @ChippewaPride72 @Machovell1an @NaughtyNestor1 @wraithburn @IntellectShorty @TheRogue_Elf @IhszNaomi @AllanKirkhart @GentlemanRascal @GuyFawkes1984 @epeterd916 @jr_bohl @AWGecko @Jennie_Agent99 @unTayIored @meggymish @cletetorres @Muelann @Shrike1988 @NucMM1retired @Sheraoftexas @lordnazh @IOurpatio @historybythpint @CamiMadeinChile @NAVYDAWG6119 @djm1992a @StacyDmomof5 @Maddoux1 @vetjr89 @VeroniqueSemtex @JHWalz32 @EricMertz_KC @fyvie2 @priebjm @LadyJessMacBeth @secjr112 @EPbaClaire @notdeadyet5000 @ScarilyCheerful @MeerkatYitz There wasn't much of an integrated online computer component back when we were doing it but we got all kinds of software to supplement the books. There were lots of good learning games. Carmen San Diego was just out then.","@iamisgo11","edutainment",
"@Yanithagawd is like Carmen Sandiego every time I turn around she about to go on vacation 😩 take me with you SHEESH","@ChrissyCorleone","travel",
"A lot of you think I'm wearing a Carmen Sandiego shirt haha It's Peggy Carter","@Nowacking","style",
"@Talen_Lee @0xabad1dea ....was it a red fedora? 'cuz Carmen Sandiego hasn't been seen for a while...","@munin","style",
"@TheOnion It’d be pretty much him doing all Carmen Sandiego cosplay.","@madmantx","style",
"WHERE IN THE WORLD IS HARRY EDWARD STYLES?! (Sung in the tune of Carmen Sandiego.)","@ambreezz","style",
"📰 Carmen San Diego was spotted at her first rave. Her infamous red hat and coat gave her away.… https://t.co/qAw0dQ5o62","@NeenersLambchop","style",
"B dressing up as carmen sandiego @gondolins https://t.co/BHh9HupG0X","@caroleslombard","style",
"I remember when I was in elementary school I used to play Where in the World is Carmen San Diego? on my computer lol","@Sunkissed_V","edutainment",
"This Is America, Charlie Brown is awesome. Along with Liberty Kids and Carmen Sandiego. Educational programming FTW.","@PaulAlgu12","edutainment",
"@GrayceBeverly @NIJAJANAE @DanSpehler i kind of want to go as Carmen SanDiego for Halloween now!","@aishahhasnie","style",
"@LilithAlive We just lived so far out in the middle of nowhere that our only neighbors were my grandfather and farmer watson. And we did have internet but we played computer games instead, at my grandad's house. Carmen Sandiego and Disney edutainment games.","@shinsengaymi","nostalgia",
"Netflix is betting on ‘90s kids nostalgia for learning with upcoming lineup #CarmenSandiego https://t.co/ywZ7SKtdVS via @Polygon","@AmberNDuran","edutainment",
"@iamquigles No like where am I? Like Carmen Sandiego but a whole lot less stylish/clever","@McGurganatorZX","pop culture",
"@calvinstowell @NintendoUK Where in the world is carmen sandiego but it's Peach and you play as her and just keep vacationing in diff spots spending lots of money","@_Brodes","travel",
"@Rose_Matafeo I am still shook from learning that Carmen Sandiego is only in NZ","@jonohutchison","edutainment",
"Move over, Carmen Sandiego--Where in the world is, Jessica Nabongo?✈️ The Ugandan-American travel blogger behind @globaljetblack may be the first black woman to travel to every country on earth! #africa #diaspora #entrepreneur https://t.co/mOGR5WTdcJ","@MemunatuMag","travel",
"5th floor Griffin Hall versus Carmen San Diego geography learning","@aznbloosom337","edutainment",
"Where in the world is Carmen San Diego? #90skids #travel #wanderflight http://t.co/g7An8sSidm","@WanderFlight","travel",
"My CEO is on vacay and has all the markets competing in this Carmen SanDiego-style game to guess where he is. He emails pics/clues and we have 5 min to respond. Lol","@love_jab","style",
"My favorite Halloween costume was: 3rd grade- Carmen Sandiego I didn’t look anything like carmen, but I still loved it. #geographynerd","@strongbasil","style",
"Carmen Sandiego, the world's most iconic #Latina super villain, is back! https://t.co/9hM3lPjSqH via @FusionNews","@projectenye","latina",
"“edutainment” was real. S/o to Carmen Sandiego and Mavis Beacon.","@p_y_tia","edutainment",
"#januaryphotochallenge #fmsphotoaday day 16 faceless: where is #carmensandiego #style #redhat… https://t.co/m5r3IvfJpU","@bianca_chiari","style",
"#WayBackInThe80s Everything I learned about geography, I learned chasing Carmen Sandiego across the United States, and then across the world.","@FebWriter","edutainment","x"
"VIDEO: 10 Reasons Where in the World Is Carmen Sandiego? Was the Best Educational TV Show Ever https://t.co/HfZsJ0TqEi","@RazzleTazzleMag","edutainment",
"@kellyrpope I shared it with my faculty colleagues and suggested it to the campus library for purchase. You do such a good job of explaining the heist and exposing the crook (w/apologies to Carmen Sandiego). It was fantastic - makes me wish you’d explain the Panama Papers, too. Thank you!","@kwittman","pop culture",
"I always get comments like ""u on a world tour huh miss jet setter"" or ""damn Carmen San Diego"" but it's funny cuz this ain't even nothin yet","@missfortyseven","travel",
"@RoPanuganti (35) I was really bad at Carmen Sandiego but it taught me a ton of geography! Also bad at every N64 game, I beat them as an adult :C","@RoPanuganti","edutainment",
"Sometimes you just need to put on 90s jams and dance around the classroom while students play your version of Where in the World is Carmen Sandiego 🤷🏻‍♀️💃🏻💆🏻‍♀️","@Queen_Gilmore","edutainment",
"@camulus KIDS ARE THE BEST COSPLAY ACCESSORIES! Here's me & my kid as Carmen Sandiego & Waldo w/friend last year lol https://t.co/HeucUyQXRQ","@AndieTweets","style",
"Carmen Sandiego has been spotted! She thinks she can trick us with that black hat. We've lost contact with the agent that took this pic. https://t.co/TijYBosg1H","@CarmenInCincy","style",
"@teachwitgopq @FedeDiGG We only found his sombrero 🔦🔍😫🚬😖🔎🐚 while she is watching Carmen Sandiego or Jeopardy","@teachwitgopq","style",
"VIDEO: 10 Reasons Where in the World Is Carmen Sandiego? Was the Best Educational TV Show Ever https://t.co/aawXNvvS2W","@maristonex1","edutainment",
"Driving home today, talking to myself as usual, and I spout this nonsense: “Carmen Sandiego? More like CAMERON SANFRANCISCO, AM I RIGHT LADIES?!?!” And laughed at myself for a solid 2 minutes before realizing I’m a complete lunatic","@sheasoshady","travel",
"@leighalexander it would be weirder (better) to record a LARP of Carmen Sandiego during your travels.","@ThoughtBubbleUK","travel",
"@DeRushaJ @WCCO I see @Ali_Lucia has her Carmen San Diego outfit in full force.","@jeremykasperson","style",
"When #AgentCarter wears her dresses with big hats, I think of Carmen San Diego.","@HiltonCollins","style",
"Heauxs leave the projects for one weekend now they got airplane and globe emojis in their bios...bitch you took two buses to Brooklyn. Settle down Carmen Sandiego 🙄😂.","@babifacekillah","travel",
"Either this woman is dressed as Carmen Sandiego for Halloween, or she is the sharpest dressed person I've seen today. #CostumeOrSF","@TonyCirimele","style",
"#90werethebestbecause Carmen Sandiego taught us how catch the bad guys (or girls)! https://t.co/YHWtNLlwFe","@ElDoradoPolice","nostalgia",
