"contents","author","category","star_tweet"
"@Talen_Lee Perhaps in a more edutainment-themed world there's a google game typing your name with 'Carmen Sandiego Henchperson' and not 'the hedgehog'","@Talen_Lee","edutainment",
"Where in the World is Carmen San Diego actually taught me world geography","@Kontravercy","edutainment","x"
"@celebrityhottub *carmen sandiego coat flip*","@minkahunter","style",
"Did you know that Carmen Sandiego is Spanish for Carmen St. Diego","@LetsBeSapid","pop culture",
"Kind of want to start wearing hats all the time. Make it my ""thing."" Like Carmen Sandiego.","@bee__red","style","x"
"@Slough_X_Motion if Carmen San Diego proved anything it's babes wear trench coats and can be international criminals too","@jova7587","style",
"@cubewatermelon it says something terrible about me that a thought that crossed my mind was “it would be obvious if she were a woman if her coat were red, and also she had a super wide-brimmed hat, and also just generally looked like Carmen Sandiego”","@GregLescoe","style",
"Cree can do anything, but would also love to see/hear a latina actress get to voice Carmen Sandiego https://t.co/GAi8Tagqz7","@radseed","latina",
"Gisele Bundchen skipped the #MetGala to cosplay Carmen Sandiego at #ChanelCruiseCuba https://t.co/XRcrhgNsTc https://t.co/7Hu6WecV4X","@Racked","style","x"
"The movie will be a standalone Carmen adventure that will embrace the beloved ’90s character https://t.co/n7fiudbf64","@PageSix","pop culture",
"I know, right? Lupin vs Carmen Sandiego could be fantastic. Also, imagine the geography based learning game they could make!","@MDMRN","edutainment",
"If you could #travel anywhere, where would you go? #CarmenSanDiego #wanderlust #studyabroad https://t.co/988X4LADkS","@StudentCaffe","travel",
"Lady Gaga Swiped Her Hat And Trench From Carmen Sandiego’s Closet https://t.co/pWLENhxV2r https://t.co/5Kt1UBGEEk","@PublicNoticias","style",
"Where in the world is Carmen Sandiego? #Redhat #newhat #birthdayflow #birthday #Balloons #💋 #🍨🍩… https://t.co/JFQvjkUWJ5","@aaadmn23","style",
"@katethewasp Carmen Sandiego taught me that word.","@BootsNBaubles","edutainment",
"@EduTweetOz There’s a reason Where in the World is Carmen Sandiego was such an amazing game. You didn’t realise you were learning geography and about other cultures.","@C21_Teaching","edutainment",
"@lafergs @kevinpokeeffe how have I never been Carmen Sandiego for halloween","@KaylaKumari","style",
"I got it, everyone. @JaxsynBates was Carmen Sandiego for Halloween. That's why he's always missing. #wheresJackson","@seankellysk","style",
"Being misogynist while wearing a Carmen Sandiego coat...ok buddy.","@IntergalacticQ","style",
"There's no doubt that #CarmenSandiego was great way to keep young gamers educated while having fun playing #Gaming http://t.co/CHv9cjBvDY","@Scootablu","edutainment",
"@stuffisthings specifically for the carmen sandiego ""international women of mystery"" types","@thatgirlAFOX","pop culture",
"Parenting styles: I (Mom) take the 8yr old to watch football and introduce him to the greatness of #CarmenSandiego Dad lets the 6yr old watch Insidious And everyone ends up happy... 🤦‍♀️","@SAPoirier923","pop culture",
"@sgrstk Carmen SanDiego was the original manic pixie dream girl. Shows up, takes something important, disappears, and claims they're both better off","@UpThePieFights","pop culture",
"Decided to name my car Carmen San Diego so that when I lose her again in the Walmart parking lot, I can say, ""where in the world is Carmen San Diego?"" Instead of the generic, ""I can't find my car!"" #carmensandiego","@katie_vernon13","pop culture",
"@lars3eb I did love Carmen San Diego as a kid! No cosplay for UCET...I may wear a Star Wars jacket though! #keepingitnerdy","@heathertprice","style",
"Remember Where in the World is Carmen Sandiego? 3 game-based components can increase student achievement https://t.co/4RRF9aGcMb #edtech https://t.co/NUcb0K1KJz","@edtechcto","edutainment",
"I don't know how anyone learns history without Where in Time is Carmen Sandiego","@MelissaJMassey","edutainment","x"
"@alexipanos You travel so much you make Carmen San Diego seem like a homebody.","@AdamsWorldBlog","travel","x"
"I won't lie to you, I don't know much about #Argentina except what I learned from Carmen San Diego and Starship Troopers. #WorldCupFinal","@RossRead","edutainment",
"Carmen Sandiego May Be Fictional, but Her Style Is Hugely Influential https://t.co/qpuVooa9tR #hot","@vizecraft_me","style",
"Sooo much fun #cosplay at #dallascomicshow today - @tranimation makes a wonderful Carmen Sandiego! If you know any of the others, please tag them 😁 --+--+--+-- #CenturyArtisans… https://t.co/VHZxhQR5wd","@CenturyArtisans","style",
"I want a outfit like Carmen Sandiego","@DeyBeOnANigga_","style",
"Here’s to new adventures #SanFrancisco #BigMove #Arrival #Love #Conquer #CarmenSanDiego #CityLights #LetsExplore #AdventureTime #Beats #Shades #Fashion #Fresh #Mens #Style #Beards… https://t.co/KifGK2QOn0","@HoundstoothJavi","travel",
"You heard it here first - I’m gonna be Carmen Sandiego for Halloween this year.","@soylatted","style",
"Question. Going to #Pax soon......do I dress up as #CarmenSandiego or just plain Ray? Only going 1 day. COSPLAY OR NO?","@RayMarkAble1","style",
"@timvracer You're Carmen SanDiego lately! Traveling the World! lol","@JTX_LOBO","travel","x"
"Kourtney Kardashian Takes Younes Bendjima on a Surprise Birthday Trip Oh, the places they'll go! Kourtney Kardashian channeled her inner Carmen San Diego for Younes Bendjima's birthday--and no, we're not talking about a role-playing fantasy.... https://t.co/Oisa1dhAwF","@NathanR89425336","travel",
"@the_hab If you want to be #carmensandiego for #halloween....we've got the hat! #costume #headwear… https://t.co/NNG6WNs3g0","@theexchangewpg","style",
"Haha.. Lov it!! ♥️ Where in the World Is Carmen Sandiego? At the Paris Haute Couture Shows https://t.co/V2Vgkl2SxD #fashionblogger https://t.co/eJxe24yC2h","@theriz_re","style",
"@soWWMD @Realjmannarino You haven't been through healthcare till you've been thru carmen Sandiego's healthcare. Its an adventure everyday.","@charlesmaynar10","travel",
"#HappyHalloween #CarmenSandiego #costume #fun #night #igersstpete #igerstampa @ Saint Petersburg,… https://t.co/9qfgLi6UV2","@roxcalamity","style",
"Game over guys. Linda and I found Carmen Sandiego. @ San Francisco International Airport (SFO) https://t.co/rcm7myfDME","@LMokaba","fashion",
"Did anyone ever find Carmen Sandiego? Is she still on the run? Has she served her time? Is she still serving looks with the red fedora and trench coat? Where is she?","@graceafuller","style","x"
"What the hell does a chocolate chip cookie in a Carmen Sandiego hat gotta do with #Empire?","@Dreams_on_Paper","style",
"I ain't a kid Ion like play-dough, I can't wait til I can travel everyday like Carmen San Diego, the more I do... http://t.co/0pkDerJDKr","@ThaRealMrBrooks","travel",
"@MissDLaShae Yes!!! Come thru with the recommendations Carmen SanDiego. Lol. You really need a travel blog too","@MandyRanga","travel",
"Carmen Sandiego cosplay: happening. This will be awesome!","@NCogsmith","style",
"My childhood is ruined. I really enjoyed playing Carmen Sandiego on the Elementary School computers. Now I come to learn that it was all part of a plan to teach me Geography? Next you're going to tell me that the Oregon Trail had education value as well.","@mloniero","edutainment",
"I apparently am never going to learn to never check a bag. Consequently, I'm naming my bag Carmen SanDiego. #lostluggageclub #aa","@kimikimkim","travel",
"Netflix May Have Found Their ‘Carmen Sandiego’ And She Comes With Golden Globe Credentials https://t.co/BtAen4EoFx https://t.co/qjcpq6Vsln","@MoviesWrld","pop culture",
"""Welcome to Costume World. How can I help you?"" ""Can't decide between Carmen San Diego, Waldo, Santa Claus, or LL Cool J in I'm Bad video."" https://t.co/yX2YMR23Ak","@chachoficial","style",
"How did Carmen Sandiego get away so often wearing an outfit that bold and recognizable? Girl, get a tan trench coat! Blend in!","@KristiColleen","style",
"I learned that word playing Carmen Sandiego when i was approximately seven years old wtf it’s not that fancy https://t.co/e5zoemXSkW","@sarah_connors","edutainment",
"Why is Ava dressed like Carmen San Diego is Julian going to go a world trip to find her #GH","@tinkerbelle3257","travel",
"@SaraJBenincasa Aah, now I want to be Carmen Sandiego! (not just for halloween)","@jmallott","style",
"@chrissyteigen love the idea of you snooping around passengers for the scoop w ur big black Carmen Sandiego hat","@jasminedumpling","style",
"Storm's Adventure with Where In the World is Carmen Sandiego?","@KyonSohma","travel",
"Where in the World Is Carmen Sandiego? #Security #safetravel #travels #CyberSecurity : https://t.co/TiU5NPkuAl","@MarkoIvanusa","travel",
"@LessPopMoreFizz you should put it into your bag for safekeeping, Carmen Sandiego-style","@Rilgon","pop culture",
"I travel in style. Like Carmen Sandiego. Or Quinta from the internet. https://t.co/Mjk81daFby","@Mo2119","travel",
"Where in the world is hero of the revolution Carmen Sandiego?","@somesillywowzer","inspiration",
"Where's my Carmen Sandiego movie? I mean, come on film industry, if you're making a Cars 3, you're clearly out of ideas.","@MikaylaRae_USA","pop culture",
